color 132 169 140

background 		assets/parallaxLevelOne/back.png	0.005
midground 		assets/parallaxLevelOne/middle.png	0.035	
foreground 		assets/parallaxLevelOne/near.png	0.05

tile tile_one 	0 	0
tile tile_one 	1 	0
tile tile_one 	2 	0
tile tile_one 	6 	0
tile tile_one 	7 	0
tile tile_one 	8 	0
tile tile_one 	12 	0
tile tile_one 	13 	0
tile tile_one 	14 	0
tile tile_one 	18 	0
tile tile_one 	19 	0
tile tile_one 	20 	0
tile tile_one 	24 	0
tile tile_one 	25 	0
tile tile_one 	26 	0
tile tile_one 	4 	2
tile tile_one 	10 	2
tile tile_one 	16 	2
tile tile_one 	6 	4
tile tile_one 	7 	4
tile tile_one 	8 	4
tile tile_one 	18 	3
tile tile_one 	20 	4
tile tile_one 	22 	5
tile tile_one 	25 	5
tile tile_one 	26 	5
tile tile_one 	27 	5
tile tile_one 	28 	5
tile tile_one 	29 	5

tile water  3 	0
tile water  4 	0
tile water  5 	0
tile water  9 	0
tile water  10 	0
tile water  11 	0
tile water  15 	0
tile water  16 	0
tile water  17 	0
tile water  21 	0
tile water  22 	0
tile water  23 	0
tile water  27 	0
tile water  28 	0
tile water  29 	0
tile water  30 	0
tile water  31 	0
tile water  32 	0
tile water  33 	0
tile water  34 	0
tile water  35 	0
tile water  36 	0
tile water  37 	0
tile water  38 	0
tile water  39 	0
tile water  40 	0

dec  tree_one	6	5
dec  tree_one	26	6

dec  bush_two 	0	1
dec  bush_two 	1	1
dec  bush_two 	6	1
dec  bush_two 	7	1
dec  bush_two 	12	1
dec  bush_two 	13	1
dec  bush_two 	18	1
dec  bush_two 	19	1
dec  bush_two 	24	1
dec  bush_two 	25	1

flag flag	28 	6

tile coin	7	7
tile coin	17	6
tile coin	25	3

player 	0 1 56 64 5 5 5 5
